"vendor","part_number","family","system_name","description","diameter_mm","center_thickness_mm","total_track_mm","efl_mm","bfl_mm","ffl_mm","fnum","na_image","enp_diameter_mm","glass_codes_json","glass_names_json","coating","wavelength_nm_primary","wavelengths_nm_json","zmx_relpath","lhlt_relpath","imported_at","import_status","import_notes_json","nd_primary","vd_primary","n_elements"
"EdmundOptics","08-083","UVFSBiConvex","08083","18mm Dia. x 20mm FL, Uncoated, UV Double-Convex Lens","18","7.64","24.8258","20.0035","17.1858","17.1858","1.1767","0.424927","18","[""458678""]","[""C79-80""]",,"587.6","[587.6]","EdmundOptics/UVFSBiConvex/08-083.zmx","EdmundOptics/UVFSBiConvex/08-083.lhlt","2026-05-17T12:57:06.3735260-07:00","ok",,"1.458461","67.8","1"
"EdmundOptics","08-084","UVFSBiConvex","08084","18mm Dia. x 40mm FL, Uncoated, UV Double-Convex Lens","18","4.29","42.7911","39.9999","38.5011","38.5011","2.3529","0.212501","18","[""458678""]","[""C79-80""]",,"587.6","[587.6]","EdmundOptics/UVFSBiConvex/08-084.zmx","EdmundOptics/UVFSBiConvex/08-084.lhlt","2026-05-17T12:57:06.3910578-07:00","ok",,"1.458461","67.8","1"
"EdmundOptics","08083","UVFSBiConvex","08083","18mm Dia. x 20mm FL, Uncoated, UV Double-Convex Lens","18","7.64","24.8258","20.0035","17.1858","17.1858","1.1767","0.424927","18","[""458678""]","[""C79-80""]",,"587.6","[587.6]","EdmundOptics/UVFSBiConvex/08-083.zmx","EdmundOptics/UVFSBiConvex/08-083.lhlt","2026-05-17T12:44:27.3856441-07:00","ok",,"1.458461","67.8","1"
"EdmundOptics","08084","UVFSBiConvex","08084","18mm Dia. x 40mm FL, Uncoated, UV Double-Convex Lens","18","4.29","42.7911","39.9999","38.5011","38.5011","2.3529","0.212501","18","[""458678""]","[""C79-80""]",,"587.6","[587.6]","EdmundOptics/UVFSBiConvex/08-084.zmx","EdmundOptics/UVFSBiConvex/08-084.lhlt","2026-05-17T12:45:18.7810263-07:00","ok",,"1.458461","67.8","1"
"EdmundOptics","11-356","Achromats/YAG-BBARCoatedAchromatic","11356","LENS ACH 9 X 12 YAG-BBAR CTD TS","9","7","15.3309","11.9977","8.3309","11.2892","1.4812","0.337566","9","[""670471"",""847238""]","[""N-BAF10"",""N-SF57""]","EO_YAGBBAR_785","587.6","[587.6]","EdmundOptics/Achromats/YAG-BBARCoatedAchromatic/11-356.zmx","EdmundOptics/Achromats/YAG-BBARCoatedAchromatic/11-356.lhlt","2026-05-17T12:57:18.9176492-07:00","ok",,"1.67003","47.11","2"
"EdmundOptics","11-357","Achromats/YAG-BBARCoatedAchromatic","11357","LENS ACH 20 X 40 YAG-BBAR CTD TS","20","10","44.4002","40.0393","34.4002","39.6589","2.1073","0.237267","20","[""670471"",""728285""]","[""N-BAF10"",""N-SF10""]","EO_YAGBBAR_785","587.6","[587.6]","EdmundOptics/Achromats/YAG-BBARCoatedAchromatic/11-357.zmx","EdmundOptics/Achromats/YAG-BBARCoatedAchromatic/11-357.lhlt","2026-05-17T12:57:18.9274576-07:00","ok",,"1.67003","47.11","2"
"EdmundOptics","11-732","Achromats/YAG-BBARCoatedAchromatic","11732","LENS ACH 40 X 160 YAG-BBAR CTD TS","40","12.5","166.6564","160.0401","154.1564","157.8174","4.1036","0.121844","40","[""517642"",""673322""]","[""N-BK7"",""N-SF5""]","EO_YAGBBAR_517","587.6","[587.6]","EdmundOptics/Achromats/YAG-BBARCoatedAchromatic/11-732.zmx","EdmundOptics/Achromats/YAG-BBARCoatedAchromatic/11-732.lhlt","2026-05-17T12:57:18.9364796-07:00","ok",,"1.5168","64.17","2"
"EdmundOptics","11-733","Achromats/YAG-BBARCoatedAchromatic","11733","LENS ACH 40 X 200 YAGB-BAR CTD TS","40","12.5","206.7082","200.0325","194.2082","197.7719","5.129","0.097484","40","[""517642"",""673322""]","[""N-BK7"",""N-SF5""]","EO_YAGBBAR_517","587.6","[587.6]","EdmundOptics/Achromats/YAG-BBARCoatedAchromatic/11-733.zmx","EdmundOptics/Achromats/YAG-BBARCoatedAchromatic/11-733.lhlt","2026-05-17T12:57:18.9466841-07:00","ok",,"1.5168","64.17","2"
"EdmundOptics","12-428","AsphericGlassPolished/HighPrecisionAspheric","12428","Asphere MRF-Grade 15mm x 15mm UNCTD","15","8.623","18.8467","15.0005","10.2237","15.0005","1","0.499984","15","[""805254""]","[""N-SF6""]",,"587.6","[587.6,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0]","EdmundOptics/AsphericGlassPolished/HighPrecisionAspheric/12-428.zmx","EdmundOptics/AsphericGlassPolished/HighPrecisionAspheric/12-428.lhlt","2026-05-17T12:57:20.7728059-07:00","ok",,"1.80518","25.36","1"
"EdmundOptics","12-429","AsphericGlassPolished/HighPrecisionAspheric","12429","Asphere MRF-Grade 15mm x 18.75mm UNCTD","15","8","22.3181","18.7498","14.3181","18.7498","1.25","0.400003","15","[""805254""]","[""N-SF6""]",,"587.5618000000001","[587.5618000000001,656.2725,486.1327,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0]","EdmundOptics/AsphericGlassPolished/HighPrecisionAspheric/12-429.zmx","EdmundOptics/AsphericGlassPolished/HighPrecisionAspheric/12-429.lhlt","2026-05-17T12:57:20.7835567-07:00","ok",,"1.80518","25.36","1"
"EdmundOptics","12-430","AsphericGlassPolished/HighPrecisionAspheric","12430","Asphere MRF-Grade 15mm x 22.5mm UNCTD","15","8.79","25.4988","22.5039","16.7088","22.5039","1.5003","0.333276","15","[""517642""]","[""N-BK7""]",,"587.5618000000001","[587.5618000000001,656.2725,486.1327,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0]","EdmundOptics/AsphericGlassPolished/HighPrecisionAspheric/12-430.zmx","EdmundOptics/AsphericGlassPolished/HighPrecisionAspheric/12-430.lhlt","2026-05-17T12:57:20.7955320-07:00","ok",,"1.5168","64.17","1"
